First Last,First,Last,Company,Domain
Jim Hobart,Jim,Hobart,"Sciton, Inc.",www.sciton.com
Spencer Johnston,Spencer,Johnston,"Endo Technologies, LLC",www.endoti.com
Glen French,Glen,French,Pulmonx Inc,www.pulmonx.com
Marc Giroux,Marc,Giroux,"Kurve Technology, Inc.",www.kurvetech.com
Vish Banthia,Vish,Banthia,"Zendyplace, LLC",www.zendyhealth.com
Jeff Leismer,Jeff,Leismer,"VibeTech, Inc.",www.vibetechglobal.com
Larry Day,Larry,Day,"Acceletronics, Inc",www.acceletronics.com
Steve Peabody,Steve,Peabody,"VoCare, Inc.",www.vocare.com
John Somers,John,Somers,"Harmac Medical Products, Inc.",www.harmac.com
Wade Fallin,Wade,Fallin,Surgical Frontiers,www.surgicalfrontiers.com
Gordon Craig,Gordon,Craig,Sterngold Dental LLC,www.sterngold.com
Ibrahim Barhumi,Ibrahim,Barhumi,BEAMS Technologies Inc.,www.beamstech.com
Peg Molloy,Peg,Molloy,"Vista LifeSciences, Inc.",www.vistalifesciences.com
Danny Niffin,Danny,Niffin,Society43 LLC,www.society43.com
Jeremy Wiggins,Jeremy,Wiggins,Carrot Medical Llc,www.carrotmedical.com
Bob Juncosa,Bob,Juncosa,"Thermal Gradient, Inc.",www.thermalgradient.com
Shui Lai,Shui,Lai,Vmax Vision Inc.,www.vmaxvision.com
James Martellini,James,Martellini,Neurogenx Inc.,www.neurogenx.com
Javad Zolfagari,Javad,Zolfagari,Bay Area Surgical Group,www.basurgical.com
John Mulvihill,,,Med-Ally LLC,www.med-ally.com
